मीडिया के झांसे में आकर राहुल गांधी की राजनीति से प्रभावित हो जाना दुर्भाग्‍यपूर्ण है. ,neg
दुर्भाग्य से उनके खाते में कम सीन थे,neg
इंटरवल से पहले इस तरह के कई दृश्य जबरन ठूंसे गए लगते है,neg
 अच्छा रहता अगर डाइरेक्टर निर्माता के प्रति जरूरत से ज्यादा वफादारी दिखाने की बजाएं फिल्म के बाकी कैरक्टर्स को डेवलेप करते . ,neg
जावेद अख्तर और प्रीतम जैसे नामों के बावजूद फिल्म का गीत - संगीत एवरेज है. फरदीन और जेनेलिया को छोड़ दें तो कोई भी कलाकार आकर्षित नहीं करता.,neg
 गोविंदा को कॉमिडी छोड़कर अब कुछ सीरियस रोल्स की तरफ भी ध्यान देना चाहिए. तुषार के काम को झेलना मुश्किल लगता है. ,neg
"फिल्म की कहानी में खास नयापन नहीं है. खासकर , पहला हाफ काफी ढीला है ",neg
"सेकंड हाफ में कहानी स्पीड पकड़ती है , तब डायरेक्टर रूमी जाफरी फिल्म पर अपनी पकड़ बनाए रखने में सफल नजर आते हैं. ",neg
करियर की तीसरी फिल्म में अध्ययन पिछली फिल्मों के मुकाबले कुछ और निखर कर सामने आए हैं. लेकिन रॉक स्टार की भूमिका को निभाते अध्ययन कई दृश्यों में कुछ ज्यादा ही ओवर ऐक्टिंग कर बैठे. अघ्ययन अगर कुछ ऐसे ही सब्जेक्ट पर बनी फिल्म रॉक ऑन में फरहान अख्तर और अर्जुन रामपाल द्वारा निभाई भूमिकाओं को फॉलो करते तो इस एहसास को और अच्छी तरह समझ पाते कि अंदर छुपे सपने को साकार करना इतना आसान भी नहीं. ,neg
अंजना सुखानी के हिस्से में ऐक्टिंग कम और सेक्सी सीन कुछ ज्यादा ही आए हैं. ,neg
" बॉलिवुड शायद कुछ ज्यादा ही बोल्ड हो गया है. कभी कॉलिज कैंपस में घूमने वाली फिल्मों की कहानियां अब स्कूलों में पहुंचने लगी हैं और अब दसवीं की स्टूडंट ममी और ग्यारहवीं का स्टूडंट पापा बनने लगे हैं. इक्कीसवीं सदी के इस दौर में भले ही हमारी सोसायटी इस बात को अभी गवारा न करे , लेकिन बॉलिवुड डायरेक्टर्स को इससे कुछ लेना-देना नहीं. ",neg
"ऐसा लगता है , मल्टिप्लेक्सों पर जुटती टीनएजर्स की भीड़ को खींचने के मकसद से डायरेक्टर ने यह बोल्ड सब्जेक्ट चुना और खुद ही भटक बैठे. फिल्म का ऐंड कोई ठोस मेसिज नहीं दे पाता. माही को डायरेक्टर ने कुछ ज्यादा ही बोल्ड पेश किया है. ऐसा नहीं लगता कि फैमिली क्लास फिल्म को देखने थिएटर का रुख करेगी. अनु मलिक के संगीत और समीर के गीतों में दम नहीं . ",neg
शायद दर्शकों को उनसे उतना लगाव नहीं रहा. ,neg
"फिल्म में अक्षय - करीना के लंबे चुंबन दृश्यों को सेंसर द्वारा यू / ए सर्टिफिकेट के साथ पास करना समझ से परे है. अमृता अरोड़ा , करीना कपूर और हॉलिवुड स्टार डेनिस रिचर्ड , सबने जमकर एक्सपोज किया है. फिल्म के डायलॉग साइलेंट कर दिए गए हैं , लेकिन इसके बावजूद फिल्म में अब भी कई डबल मीनिंग डायलॉग बचे हैं. ",neg
अपनी फिल्म ' कल किसने देखा ' से अपने बेटे जैकी भगनानी को लॉन्च किया. लेकिन बेटे को ज्यादा से ज्यादा फुटेज देने की चाह में कहानी ऐसी तोड़ - मरोड़ दी गई कि फिल्म जैकी के कमजोर कंधों पर टिक कर रह गई. ,neg
"जैकी के लिए वाशु ने किसी जानी - मानी हीरोइन को भी नहीं लिया , शायद यह सोचकर कि कहीं बेटा पीछे न रह जाए. सत्तर - अस्सी के दशक में अमिताभ बच्चन को लीड रोल में लेकर कई सुपरहिट फिल्में बना चुके मनमोहन देसाई की पोती वैशाली देसाई ने भी इस फिल्म से करियर की शुरुआत की. वैसे , जैकी ने कैमरा फेस करने से पहले डांस और ऐक्शन जैसी तमाम ट्रेनिंग ली , वहीं वैशाली बिना किसी तैयारी के कैमरे के सामने आईं. लेकिन कहानी में नयापन न होने और कमजोर रफ्तार की वजह से फिल्म दर्शकों को एकटक स्क्रीन में देखने के लिए मजदूर नहीं कर पाई. ",neg
"फिल्म में निर्माता ने बेवजह हिंसा और ऐसे कई डबल - मीनिंग संवाद ठूंसे है , जिनकी कत्तई जरूरत नहीं थी. बोमन ईरानी और विनोद खन्ना जैसे सीनियर ऐक्टर होने के बावजूद डाइरेक्टर जोड़ी इनसे सहीं काम नहीं ले पाई. वहीं , सोहा अली खान इस बार भी एक्स्ट्रा टाइप भूमिका में है.",neg
"फिल्म की कहानी 70-80 के दशक की उन फिल्मों की याद दिलाती है , जिनमें नायिका खुद को अबला , बेबस और पति को देवता समझती है. फिल्म की कहानी खुशहाल पति - पत्नी के बीच किसी तीसरे शख्स के आने की है. कहानी में कुछ भी नयापन नहीं है. ऐसा लगता है कि फिल्म के हीरो प्रकाश सागर ने बिना किसी तैयारी के कैमरा फेस किया है. कुछ यही हाल बाकी स्टार कास्ट का भी है.",neg
"फिल्म के डाइरेक्टर भी शोले से कुछ ज्यादा ही प्रभावित हैं , तभी तो उन्होंने अपनी फिल्म में इन दोनों को महंगी कारों पर हाथ साफ करने वाले चोर के रूप में दिखाया. पर इंटरवल से थोड़ी देर पहले दर्शकों के बीच साफ होता है कि जय पुलिस इंस्पेक्टर है. ",neg
"फिल्म में कहानी के नाम पर बॉलिवुड की दो सदाबहार सुपर हिट फिल्मों शोले और लगान का कचूमर निकाला गया है. अगर आप यह फिल्म देखने जा रहे हैं , तो इसमें कहानी मत तलाशिए. ",neg
"पिछले साल रिलीस हुई फिल्म 1920 की कहानी से फिल्म की कई घटनाएं काफी हद तक मिलती हैं. यहीं वजह है कि दर्शकों को कई जगह पहले से ही अगले सीन का कुछ-कुछ पता लग जाता है. फिल्म में सेक्स का तड़का लगाने में डाइरेक्टर ने कोई कसर बाकी नहीं रखी. कंगना ने अपने रीयल लाइफ लवर अध्ययन के साथ बोल्ड लव सीन दिए हैं. वहीं , अगर ऐक्टिंग पर नजर दौड़ाई जाए तो फैशन में अपनी ब्यूटी और ऐक्टिंग का जलवा बिखेर चुकी कंगना ने इस फिल्म में भी अपनी किरदार के साथ ईमानदारी की है. वह फिल्म में खूब जमी हैं. इमरान की ऐक्टिंग में भी लगातार सुधार दिखता नजर आ रहा है. वहीं , अध्ययन की बात की जाए , तो अपनी पिछली फिल्म हाल-ए-दिल में नाकाम रहने के बाद , उन्होंने इस बार एहसास कराया कि ऐक्टिंग की एबीसी उन्हें भी आती है. लेकिन इन खूबियों के बीच कमजोर स्क्रिप्ट और सुस्त निर्देशन राज 2 की रफ्तार रोकती है. वैसे , अगर आपने राज देखी है , तो प्लीज! उससे इस राज की तुलना न करें. शायद यह तुलना आपको निराश ही करेगी. ",neg
"स्मॉल स्क्रीन पर बतौर वीजे पहचान बना चुके गौरव कपूर पूरी फिल्म में बुझे-बुझे से लगते हैं. डाइरेक्टर ने उनसे ज्यादा फुटिज परमीत सेठी और गोविंद नामदेव को दी है , जिसे देखकर वाकई लगता है कि ' बेचारा गोविंद ' . बतौर निर्देशक वरुण न तो कलाकारों से ठीक काम करा पाए और न कहानी को ट्रैक पर रखने में कामयाब रहे. फिल्म के कई डबल मीनिंग डायलॉग सेंसर की कैंची से कैसे बचे रह गए , यह समझ से परे है. फिल्म का क्लाइमैक्स इतना बेहूदा और कमजोर हैं कि डाइरेक्टर की कला पर तरस आता है. ऐसे में अगर आप फिर भी इस गोविंद से मिलने थिअटर का रुख करते हैं , तो बेस्ट ऑफ लक... ",neg
"इसके बाद फिल्म में वही ड्रामा शुरू होता है , जो कभी सत्तर-अस्सी के दशक में बनने वाली फिल्मों में नजर आता था. इस छोटी सी कहानी में जब भी ठहराव आने लगता है झट से पुलिस के आला अधिकारी बने जॉनी लीवर अजीबोगरीब हरकतें करते नजर आते हैं. कमजोर पटकथा , लचर अभिनय और सुस्त निर्देशन के चलते फिल्म कहीं भी दर्शकों को बांध नहीं पाती. ",neg
फिल्म को तो लोग ज्यादा पसंद कर नहीं रहे,neg
"इतने बरस बाद राजेश खन्ना की वापसी तो हुई , पर वह काफी निराशाजनक रही. समझ में यह बात नहीं आती कि अपने समय के सुपर स्टार रहे राजेश खन्ना की ऐसी कौन-सी मजबूरी थी कि उन्होंने यह फिल्म साइन की. इस फिल्म में 22 साल की खूबसूरत सारा खान ने 70 साल के काका से शानदार मुकाबला किया है. कह सकते हैं कि काका को कैमरा फेस करने से पहले कुछ तैयारी करनी चाहिए थी. ",neg
